1,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12/31/2014,Q4 2014,,,,,,,,,,,485,"1,424","2,374","3,334","4,293","5,241","6,187","7,144","8,099","9,033","9,975","10,927","11,877","12,805","13,742","14,689","15,633","16,552","17,481","18,417","19,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3/31/2015,Q1 2015,,,,,,,,,,,,646,"1,971","3,310","4,648","5,970","7,291","8,626","9,959","11,261","12,578","13,907","15,234","16,529","17,837","19,158","20,478","21,764","23,061","24,371","25,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6/30/2015,Q2 2015,,,,,,,,,,,,,573,"1,734","2,894","4,040","5,186","6,344","7,500","8,631","9,772","10,925","12,077","13,202","14,337","15,483","16,628","17,746","18,874","20,010","21,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9/30/2015,Q3 2015,,,,,,,,,,,,,,783,"2,336","3,871","5,406","6,955","8,504","10,018","11,547","13,090","14,633","16,140","17,662","19,198","20,731","22,229","23,742","25,267","26,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12/31/2015,Q4 2015,,,,,,,,,,,,,,,"1,062","3,144","5,225","7,327","9,428","11,482","13,556","15,652","17,744","19,790","21,855","23,941","26,022","28,055","30,109","32,182","34,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3/31/2016,Q1 2016,,,,,,,,,,,,,,,,744,"2,237","3,744","5,251","6,724","8,212","9,715","11,217","12,684","14,166","15,663","17,158","18,617","20,090","21,578","23,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6/30/2016,Q2 2016,,,,,,,,,,,,,,,,,515,"1,558","2,600","3,619","4,649","5,689","6,728","7,744","8,769","9,805","10,840","11,851","12,871","13,901","14,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9/30/2016,Q3 2016,,,,,,,,,,,,,,,,,,"1,249","3,725","6,147","8,593","11,064","13,534","15,948","18,386","20,847","23,308","25,711","28,138","30,586","33,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12/31/2016,Q4 2016,,,,,,,,,,,,,,,,,,,"1,084","3,187","5,311","7,458","9,603","11,700","13,818","15,958","18,094","20,184","22,292","24,422","26,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3/31/2017,Q1 2017,,,,,,,,,,,,,,,,,,,,"1,772","5,403","9,073","12,740","16,324","19,946","23,604","27,259","30,828","34,437","38,079","41,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6/30/2017,Q2 2017,,,,,,,,,,,,,,,,,,,,,"1,519","4,598","7,675","10,684","13,722","16,793","19,861","22,859","25,885","28,945","31,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9/30/2017,Q3 2017,,,,,,,,,,,,,,,,,,,,,,"1,435","4,281","7,064","9,876","12,715","15,554","18,328","21,130","23,959","26,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12/31/2017,Q4 2017,,,,,,,,,,,,,,,,,,,,,,,"2,087","6,135","10,225","14,358","18,487","22,525","26,602","30,722","34,834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3/31/2018,Q1 2018,,,,,,,,,,,,,,,,,,,,,,,,"1,453","4,432","7,442","10,450","13,389","16,360","19,361","22,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6/30/2018,Q2 2018,,,,,,,,,,,,,,,,,,,,,,,,,"1,737","5,258","8,776","12,216","15,690","19,202","22,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9/30/2018,Q3 2018,,,,,,,,,,,,,,,,,,,,,,,,,,"1,750","5,221","8,615","12,044","15,507","18,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12/31/2018,Q4 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,665","4,895","8,159","11,457","14,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3/31/2019,Q1 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,834","11,691","19,631","27,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6/30/2019,Q2 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,117","15,487","25,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9/30/2019,Q3 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,281","30,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,12/31/2019,Q4 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cumulative foreign vehicle years,,,,,,177,956,"2,489","4,863","8,216","12,534","17,868","24,501","32,568","42,460","54,013","66,821","81,529","98,536","117,971","140,965","167,169","196,845","229,303","265,336","305,240","348,483","396,165","453,421","526,894","622,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,,32,398,"1,642","4,152","7,856","12,511","17,911","24,292","31,723","40,393","50,169","61,492","74,484","89,265","106,059","125,201","147,717","173,803","202,222","233,447","268,085","306,231","347,325","394,404","454,161","532,369","622,027","723,220","834,235","949,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Foreign,,,,,,177,956,"2,489","4,863","8,216","12,534","17,868","24,501","32,568","42,460","54,013","66,821","81,529","98,536","117,971","140,965","167,169","196,845","229,303","265,336","305,240","348,483","396,165","453,421","526,894","622,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Global cumulative vehicle years,,32,398,"1,642","4,152","8,033","13,467","20,400","29,155","39,939","52,927","68,036","85,993","107,051","131,725","160,072","192,021","229,246","272,339","320,194","374,413","435,254","503,076","576,629","659,740","759,401","880,852","1,018,192","1,176,641","1,361,129","1,572,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cumulative driver/pedestrian deaths,,,,,,0,1,1,1,2,3,4,5,5,8,9,11,14,18,20,20,21,22,25,30,33,38,43,46,52,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vehicle years per death,,,,,,,"13,467","20,400","29,155","19,969","17,642","17,009","17,199","21,410","16,466","17,786","17,456","16,375","15,130","16,010","18,721","20,726","22,867","23,065","21,991","23,012","23,180","23,679","25,579","26,176","25,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cumulative total deaths,,,,0,2,2,3,3,3,8,9,10,11,11,14,15,19,24,30,32,36,39,41,44,50,55,62,68,74,89,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vehicle years per total deaths,,,,,"2,076","4,017","4,489","6,800","9,718","4,992","5,881","6,804","7,818","9,732","9,409","10,671","10,106","9,552","9,078","10,006","10,400","11,160","12,270","13,105","13,195","13,807","14,207","14,973","15,901","15,294","14,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,,100%,100%,100%,100%,98%,93%,88%,83%,79%,76%,74%,72%,70%,68%,66%,65%,64%,64%,63%,62%,62%,61%,60%,60%,60%,60%,61%,61%,61%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Foreign,,0%,0%,0%,0%,2%,7%,12%,17%,21%,24%,26%,28%,30%,32%,34%,35%,36%,36%,37%,38%,38%,39%,40%,40%,40%,40%,39%,39%,39%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Global cumulative vehicle years,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 3 vehicle years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9/30/2015,Q3 2015,,,,,,,,,,,,,,,,,,,,,,28,83,137,191,246,301,354,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12/31/2015,Q4 2015,,,,,,,,,,,,,,,,,,,,,,,193,568,947,"1,329","1,710","2,082","2,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3/31/2016,Q1 2016,,,,,,,,,,,,,,,,,,,,,,,,982,"2,994","5,024","7,050","9,029","11,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6/30/2016,Q2 2016,,,,,,,,,,,,,,,,,,,,,,,,,"2,264","6,850","11,428","15,898","20,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9/30/2016,Q3 2016,,,,,,,,,,,,,,,,,,,,,,,,,,"7,033","20,968","34,577","48,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12/31/2016,Q4 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,922","23,276","38,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3/31/2017,Q1 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,113","18,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6/30/2017,Q2 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9/30/2017,Q3 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12/31/2017,Q4 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3/31/2018,Q1 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6/30/2018,Q2 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9/30/2018,Q3 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12/31/2018,Q4 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3/31/2019,Q1 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6/30/2019,Q2 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cumulative Model 3 vehicle years,,,,,,,,,,,,,,,,,,,,,,28,276,"1,687","6,396","20,482","49,379","91,329","149,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Q1 2015,Q1 2015,Q1 2015,Q2 2015,Q2 2015,Q2 2015,Q3 2015,Q3 2015,Q3 2015,Q4 2015,Q4 2015,Q4 2015,Q1 2016,Q1 2016,Q1 2016,Q2 2016,Q2 2016,Q2 2016,Q3 2016,Q3 2016,Q3 2016,Q4 2016,Q4 2016,Q4 2016,Q1 2017,Q1 2017,Q1 2017,Q2 2017,Q2 2017,Q2 2017,Q3 2017,Q3 2017,Q3 2017,Q4 2017,Q4 2017,Q4 2017,Q1 2018,Q1 2018,Q1 2018,Q2 2018,Q2 2018,Q2 2018,Q3 2018,Q3 2018,Q3 2018,Q4 2018,Q4 2018,Q4 2018,Q1 2019,Q1 2019,Q1 2019,Q2 2019,Q2 2019,Q2 2019,Q3 2019,Q4 2019
,,,,,,,,,,,,,,Jan-31,Feb-28,Mar-31,Apr-30,May-31,Jun-30,Jul-31,Aug-31,Sep-30,Oct-31,Nov-30,Dec-31,Jan-31,Feb-28,Mar-31,Apr-30,May-31,Jun-30,Jul-31,Aug-31,Sep-30,Oct-31,Nov-30,Dec-31,Jan-31,Feb-28,Mar-31,Apr-30,May-31,Jun-30,Jul-31,Aug-31,Sep-30,Oct-31,Nov-30,Dec-31,Jan-31,Feb-28,Mar-31,Apr-30,May-31,Jun-30,Jul-31,Aug-31,Sep-30,Oct-31,Nov-30,Dec-31,Jan-31,Feb-28,Mar-31,Apr-30,May-31,Jun-30,Jul-31,Aug-31
,,US per InsideEVs,,,,,,,,,,,,"1,100","1,150","2,450","1,700","2,400","2,800","1,600","1,300","2,506","1,904","3,205","3,799","1,120","1,820","5,850","1,595","2,800","5,845","2,704","4,685","7,550","1,650","2,300","9,725","1,650","2,550","6,200","1,840","3,350","4,550","3,075","3,725","7,980","1,970","3,210","8,275","3,375","4,585","10,020","6,150","9,220","11,350","16,775","23,175","29,975","20,325","24,600","32,600","8,325","7,650","15,325","11,925","16,350","25,700",15650,15225